date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:07	9940/9940	---MCZ	200	added ('OK')	text/html	etag:%2226d4-3glh/g+o17VlVqq2aCn9BqXeD3w%22	https://crush.tappi.vn/hgh2	C:/My%20Web%20Sites/forAn/crush.tappi.vn/hgh2.html	(from )
20:12:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Aug%202021%2013:12:07%20GMT	https://crush.tappi.vn/robots.txt		(from )
20:12:08	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225cca0c33-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/forAn/code.jquery.com/jquery-3.4.1.min.js	(from https://crush.tappi.vn/hgh2)
20:12:08	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/forAn/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://crush.tappi.vn/hgh2)
20:12:08	2870246/2870246	---M-Z	200	added ('OK')	text/css	etag:%22602055a9-2bcbe6%22	https://cdnjs.cloudflare.com/ajax/libs/tailwindcss/2.0.3/tailwind.min.css	C:/My%20Web%20Sites/forAn/cdnjs.cloudflare.com/ajax/libs/tailwindcss/2.0.3/tailwind.min.css	(from https://crush.tappi.vn/hgh2)
20:12:09	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/forAn/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://crush.tappi.vn/hgh2)
20:12:09	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/forAn/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://crush.tappi.vn/hgh2)
20:12:10	54507/54507	---MCZ	200	added ('OK')	text/css	etag:W/%22d4eb-17b41a17c8b%22	https://crush.tappi.vn/_next/static/css/styles.cf50e730.chunk.css	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/css/styles.cf50e730.chunk.css	(from https://crush.tappi.vn/hgh2)
20:12:10	2060984/2060984	---MCZ	200	added ('OK')	text/css	etag:W/%221f72b8-17b41a17c83%22	https://crush.tappi.vn/_next/static/css/353c0a03.0f742b7d.chunk.css	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/css/353c0a03.0f742b7d.chunk.css	(from https://crush.tappi.vn/hgh2)
20:12:10	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%22520c-17b41a17c83%22	https://crush.tappi.vn/_next/static/chunks/main-066c16417c73e8e66be0.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/main-066c16417c73e8e66be0.js	(from https://crush.tappi.vn/hgh2)
20:12:10	1539/1539	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603-17b41a17c83%22	https://crush.tappi.vn/_next/static/chunks/webpack-d7b2fb72fb7257504a38.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/webpack-d7b2fb72fb7257504a38.js	(from https://crush.tappi.vn/hgh2)
20:12:11	129209/129209	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f8b9-17b41a17c83%22	https://crush.tappi.vn/_next/static/chunks/framework.4df82c4704a0136f6a4b.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/framework.4df82c4704a0136f6a4b.js	(from https://crush.tappi.vn/hgh2)
20:12:11	69/69	---M--	200	added ('OK')	application/javascript	etag:W/%2245-17b41a17c83%22	https://crush.tappi.vn/_next/static/chunks/353c0a03.8f6f5b95f5e92b2c9bcd.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/353c0a03.8f6f5b95f5e92b2c9bcd.js	(from https://crush.tappi.vn/hgh2)
20:12:11	31360/31360	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a80-17b41a17c83%22	https://crush.tappi.vn/_next/static/chunks/commons.4a9d2277d75e33fbe8ee.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/commons.4a9d2277d75e33fbe8ee.js	(from https://crush.tappi.vn/hgh2)
20:12:11	138/138	---M--	200	added ('OK')	application/javascript	etag:W/%228a-17b41a17c8b%22	https://crush.tappi.vn/_next/static/chunks/styles.2028f6d557c567d180fd.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/styles.2028f6d557c567d180fd.js	(from https://crush.tappi.vn/hgh2)
20:12:12	13969/13969	---MCZ	200	added ('OK')	application/javascript	etag:W/%223691-17b41a17c87%22	https://crush.tappi.vn/_next/static/chunks/pages/_app-66736a27dea556ee364e.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/pages/_app-66736a27dea556ee364e.js	(from https://crush.tappi.vn/hgh2)
20:12:12	70559/70559	---MCZ	200	added ('OK')	application/javascript	etag:W/%221139f-17b41a17c87%22	https://crush.tappi.vn/_next/static/chunks/pages/%5Busername%5D-b473454be2ff6bd4e94b.js	C:/My%20Web%20Sites/forAn/crush.tappi.vn/_next/static/chunks/pages/[username]-b473454be2ff6bd4e94b.js	(from https://crush.tappi.vn/hgh2)
